"","pathway_name","top_level_pathway_name"
"220","DDX58/IFIH1-mediated induction of interferon-alpha/beta","Immune System"
"221","Deactivation of the beta-catenin transactivating complex","Signal Transduction"
"222","Deadenylation of mRNA","Metabolism of RNA"
"223","Deadenylation of mRNA","Metabolism of RNA"
"224","Dectin-1 mediated noncanonical NF-kB signaling","Immune System"
"225","Dectin-2 family","Immune System"
"226","Defective B3GAT3 causes JDSSDHD","Disease"
"227","Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)","Disease"
"228","Defective C1GALT1C1 causes TNPS","Disease"
"229","Defective CFTR causes cystic fibrosis","Disease"
"230","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","Disease"
"231","Defective EXT2 causes exostoses 2","Disease"
"232","Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function","Disease"
"233","Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function","Disease"
"234","Defective pyroptosis","Disease"
"235","Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)","Disease"
"236","Defensins","Immune System"
"237","Degradation of AXIN","Signal Transduction"
"238","Degradation of beta-catenin by the destruction complex","Signal Transduction"
"239","Degradation of cysteine and homocysteine","Metabolism"
"240","Degradation of DVL","Signal Transduction"
"241","Degradation of GLI1 by the proteasome","Signal Transduction"
"242","Degradation of GLI2 by the proteasome","Signal Transduction"
"243","Degradation of the extracellular matrix","Extracellular matrix organization"
"244","Deposition of new CENPA-containing nucleosomes at the centromere","Cell Cycle"
"245","Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models","Disease"
"246","Detoxification of Reactive Oxygen Species","Cellular responses to stimuli"
"247","Developmental Biology","Developmental Biology"
"248","Digestion","Digestion and absorption"
"249","Digestion and absorption","Digestion and absorption"
"250","Digestion of dietary carbohydrate","Digestion and absorption"
"251","Dimerization of procaspase-8","Programmed Cell Death"
"252","Disassembly of the destruction complex and recruitment of AXIN to the membrane","Signal Transduction"
"253","Disease","Disease"
"254","Dissolution of Fibrin Clot","Hemostasis"
"255","DNA Damage Recognition in GG-NER","DNA Repair"
"256","DNA Damage/Telomere Stress Induced Senescence","Cellular responses to stimuli"
"257","DNA methylation","Gene expression (Transcription)"
"258","DNA Repair","DNA Repair"
"259","DNA Replication","DNA Replication"
"260","Dopamine Neurotransmitter Release Cycle","Neuronal System"
"261","Downregulation of ERBB2 signaling","Signal Transduction"
"262","Downregulation of ERBB2:ERBB3 signaling","Signal Transduction"
"263","Downregulation of SMAD2/3:SMAD4 transcriptional activity","Signal Transduction"
"264","Downregulation of SMAD2/3:SMAD4 transcriptional activity","Gene expression (Transcription)"
"265","Downregulation of TGF-beta receptor signaling","Signal Transduction"
"266","Downstream signal transduction","Signal Transduction"
"267","Downstream signaling of activated FGFR1","Signal Transduction"
"268","Downstream TCR signaling","Immune System"
"269","Drug ADME","Drug ADME"
"270","DSCAM interactions","Developmental Biology"
"271","Dual Incision in GG-NER","DNA Repair"
"272","Dual incision in TC-NER","DNA Repair"
"273","E3 ubiquitin ligases ubiquitinate target proteins","Metabolism of proteins"
"274","Early Phase of HIV Life Cycle","Disease"
"275","Early Phase of HIV Life Cycle","Disease"
"276","ECM proteoglycans","Extracellular matrix organization"
"277","Effects of PIP2 hydrolysis","Hemostasis"
"278","Effects of PIP2 hydrolysis","Signal Transduction"
"279","EGFR downregulation","Signal Transduction"
"280","EGR2 and SOX10-mediated initiation of Schwann cell myelination","Developmental Biology"
"281","Eicosanoid ligand-binding receptors","Signal Transduction"
"282","Elastic fibre formation","Extracellular matrix organization"
"283","Elevation of cytosolic Ca2+ levels","Hemostasis"
"284","EML4 and NUDC in mitotic spindle formation","Cell Cycle"
"285","Endogenous sterols","Metabolism"
"286","Endosomal Sorting Complex Required For Transport (ESCRT)","Vesicle-mediated transport"
"287","Endosomal/Vacuolar pathway","Immune System"
"288","Energy dependent regulation of mTOR by LKB1-AMPK","Signal Transduction"
"289","eNOS activation","Metabolism"
"290","EPH-ephrin mediated repulsion of cells","Developmental Biology"
"291","EPH-Ephrin signaling","Developmental Biology"
"292","EPHA-mediated growth cone collapse","Developmental Biology"
"293","EPHB-mediated forward signaling","Developmental Biology"
"294","Ephrin signaling","Developmental Biology"
"295","ER Quality Control Compartment (ERQC)","Metabolism of proteins"
"296","ER Quality Control Compartment (ERQC)","Metabolism of proteins"
"297","ER-Phagosome pathway","Immune System"
"298","ER-Phagosome pathway","Immune System"
"299","ERBB2 Activates PTK6 Signaling","Signal Transduction"
"300","ERBB2 Regulates Cell Motility","Signal Transduction"
"301","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","Gene expression (Transcription)"
"302","ERK/MAPK targets","Signal Transduction"
"303","ERK/MAPK targets","Immune System"
"304","ERKs are inactivated","Signal Transduction"
"305","ERKs are inactivated","Immune System"
"306","Erythrocytes take up carbon dioxide and release oxygen","Transport of small molecules"
"307","Erythropoietin activates Phosphoinositide-3-kinase (PI3K)","Signal Transduction"
"308","Erythropoietin activates RAS","Signal Transduction"
"309","ESR-mediated signaling","Signal Transduction"
"310","Establishment of Sister Chromatid Cohesion","Cell Cycle"
"311","Estrogen-dependent gene expression","Signal Transduction"
"312","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","Signal Transduction"
"313","Ethanol oxidation","Metabolism"
"314","Eukaryotic Translation Elongation","Metabolism of proteins"
"315","Eukaryotic Translation Termination","Metabolism of proteins"
"316","Eukaryotic Translation Termination","Metabolism of proteins"
"317","Expression and translocation of olfactory receptors","Sensory Perception"
"318","Extra-nuclear estrogen signaling","Signal Transduction"
"319","Extracellular matrix organization","Extracellular matrix organization"
"320","Factors involved in megakaryocyte development and platelet production","Hemostasis"
"321","Fanconi Anemia Pathway","DNA Repair"
"322","Fatty acyl-CoA biosynthesis","Metabolism"
"323","Fatty acyl-CoA biosynthesis","Metabolism"
"324","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","Cell Cycle"
"325","Fc epsilon receptor (FCERI) signaling","Immune System"
"326","FCERI mediated Ca+2 mobilization","Immune System"
"327","FCERI mediated MAPK activation","Immune System"
"328","FCERI mediated NF-kB activation","Immune System"
"329","FCGR activation","Immune System"
"330","FCGR3A-mediated IL10 synthesis","Disease"
"331","FCGR3A-mediated phagocytosis","Disease"
"332","FGFR1c ligand binding and activation","Signal Transduction"
"333","FGFR2 alternative splicing","Signal Transduction"
"334","FGFR2b ligand binding and activation","Signal Transduction"
"335","FGFR2c ligand binding and activation","Signal Transduction"
"336","FGFR3c ligand binding and activation","Signal Transduction"
"337","FGFR4 ligand binding and activation","Signal Transduction"
"338","FGFRL1 modulation of FGFR1 signaling","Signal Transduction"
"339","FLT3 Signaling","Immune System"
"340","Folding of actin by CCT/TriC","Metabolism of proteins"
"341","Formation of a pool of free 40S subunits","Metabolism of proteins"
"342","Formation of annular gap junctions","Vesicle-mediated transport"
"343","Formation of apoptosome","Programmed Cell Death"
"344","Formation of ATP by chemiosmotic coupling","Metabolism"
"345","Formation of HIV elongation complex in the absence of HIV Tat","Disease"
"346","Formation of HIV-1 elongation complex containing HIV-1 Tat","Disease"
"347","Formation of Incision Complex in GG-NER","DNA Repair"
"348","Formation of RNA Pol II elongation complex ","Gene expression (Transcription)"
"349","Formation of Senescence-Associated Heterochromatin Foci (SAHF)","Cellular responses to stimuli"
"350","Formation of TC-NER Pre-Incision Complex","DNA Repair"
"351","Formation of the beta-catenin:TCF transactivating complex","Signal Transduction"
"352","Formation of the cornified envelope","Developmental Biology"
"353","Formation of the cornified envelope","Developmental Biology"
"354","Formation of the Early Elongation Complex","Gene expression (Transcription)"
"355","Formation of the HIV-1 Early Elongation Complex","Disease"
"356","Formation of the ternary complex, and subsequently, the 43S complex","Metabolism of proteins"
"357","Formation of tubulin folding intermediates by CCT/TriC","Metabolism of proteins"
"358","FOXO-mediated transcription of cell cycle genes","Gene expression (Transcription)"
"359","FOXO-mediated transcription of cell death genes","Gene expression (Transcription)"
"360","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","Gene expression (Transcription)"
"361","FRS-mediated FGFR1 signaling","Signal Transduction"
"362","FRS-mediated FGFR2 signaling","Signal Transduction"
"363","FRS-mediated FGFR3 signaling","Signal Transduction"
"364","FRS-mediated FGFR4 signaling","Signal Transduction"
"365","Frs2-mediated activation","Signal Transduction"
"366","G alpha (12/13) signalling events","Signal Transduction"
"367","G alpha (i) signalling events","Signal Transduction"
"368","G alpha (q) signalling events","Signal Transduction"
"369","G alpha (s) signalling events","Signal Transduction"
"370","G alpha (z) signalling events","Signal Transduction"
"371","G beta:gamma signalling through BTK","Signal Transduction"
"372","G beta:gamma signalling through CDC42","Signal Transduction"
"373","G beta:gamma signalling through PI3Kgamma","Signal Transduction"
"374","G beta:gamma signalling through PLC beta","Signal Transduction"
"375","G-protein activation","Signal Transduction"
"376","G0 and Early G1","Cell Cycle"
"377","G1/S-Specific Transcription","Cell Cycle"
"378","G2/M Checkpoints","Cell Cycle"
"379","G2/M DNA damage checkpoint","Cell Cycle"
"380","GAB1 signalosome","Signal Transduction"
"381","GABA B receptor activation","Neuronal System"
"382","GABA receptor activation","Neuronal System"
"383","GABA synthesis, release, reuptake and degradation","Neuronal System"
"384","Gamma-carboxylation of protein precursors","Metabolism of proteins"
"385","Gap junction assembly","Vesicle-mediated transport"
"386","Gap junction degradation","Vesicle-mediated transport"
"387","Gap-filling DNA repair synthesis and ligation in GG-NER","DNA Repair"
"388","Gap-filling DNA repair synthesis and ligation in TC-NER","DNA Repair"
"389","Gastrin-CREB signalling pathway via PKC and MAPK","Signal Transduction"
"390","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","Immune System"
"391","Gene expression (Transcription)","Gene expression (Transcription)"
"392","Generation of second messenger molecules","Immune System"
"393","Generic Transcription Pathway","Gene expression (Transcription)"
"394","Germ layer formation at gastrulation","Developmental Biology"
"395","GLI3 is processed to GLI3R by the proteasome","Signal Transduction"
"396","Glucagon signaling in metabolic regulation","Metabolism"
"397","Glucagon-like Peptide-1 (GLP1) regulates insulin secretion","Metabolism"
"398","Glucagon-type ligand receptors","Signal Transduction"
"399","Glucocorticoid biosynthesis","Metabolism"
"400","Gluconeogenesis","Metabolism"
"401","Glucuronidation","Metabolism"
"402","Glutamate and glutamine metabolism","Metabolism"
"403","Glutamate Neurotransmitter Release Cycle","Neuronal System"
"404","Glutathione conjugation","Metabolism"
"405","Glutathione synthesis and recycling","Metabolism"
"406","Glycerophospholipid biosynthesis","Metabolism"
"407","Glycogen breakdown (glycogenolysis)","Metabolism"
"408","Glycogen synthesis","Metabolism"
"409","Glycolysis","Metabolism"
"410","Glycoprotein hormones","Metabolism of proteins"
"411","Glyoxylate metabolism and glycine degradation","Metabolism"
"412","Golgi Associated Vesicle Biogenesis","Vesicle-mediated transport"
"413","Golgi Cisternae Pericentriolar Stack Reorganization","Cell Cycle"
"414","GP1b-IX-V activation signalling","Hemostasis"
"415","GPER1 signaling","Signal Transduction"
"416","GPVI-mediated activation cascade","Hemostasis"
"417","GRB2 events in EGFR signaling","Signal Transduction"
"418","GRB2 events in ERBB2 signaling","Signal Transduction"
"419","GRB2:SOS provides linkage to MAPK signaling for Integrins ","Hemostasis"
"420","GRB2:SOS provides linkage to MAPK signaling for Integrins ","Signal Transduction"
"421","Growth hormone receptor signaling","Immune System"
"422","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","Cellular responses to stimuli"
"423","GTP hydrolysis and joining of the 60S ribosomal subunit","Metabolism of proteins"
"424","HATs acetylate histones","Chromatin organization"
"425","HCMV Early Events","Disease"
"426","HCMV Early Events","Disease"
"427","HCMV Late Events","Disease"
"428","HCMV Late Events","Disease"
"429","HDACs deacetylate histones","Chromatin organization"
"430","HDL remodeling","Transport of small molecules"
"431","HDMs demethylate histones","Chromatin organization"
"432","HDR through Homologous Recombination (HRR)","DNA Repair"
"433","HDR through MMEJ (alt-NHEJ)","DNA Repair"
"434","HDR through Single Strand Annealing (SSA)","DNA Repair"
"435","Hedgehog 'off' state","Signal Transduction"
"436","Hedgehog 'on' state","Signal Transduction"
"437","Hedgehog ligand biogenesis","Signal Transduction"
"438","Heme biosynthesis","Metabolism"
"439","Heme degradation","Metabolism"
"440","Heme signaling","Cellular responses to stimuli"
"441","Hemostasis","Hemostasis"
"442","Hh mutants are degraded by ERAD","Disease"
"443","Highly calcium permeable postsynaptic nicotinic acetylcholine receptors","Neuronal System"
"444","HIV elongation arrest and recovery","Disease"
"445","HIV Transcription Initiation","Disease"
"446","Homologous DNA Pairing and Strand Exchange","DNA Repair"
"447","Hormone ligand-binding receptors","Signal Transduction"
"448","HS-GAG biosynthesis","Metabolism"
"449","HS-GAG degradation","Metabolism"
"450","HSF1 activation","Cellular responses to stimuli"
"451","HSF1-dependent transactivation","Cellular responses to stimuli"
"452","HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand","Cellular responses to stimuli"
"453","Hyaluronan metabolism","Metabolism"
"454","Hydrolysis of LPC","Metabolism"
"455","IKK complex recruitment mediated by RIP1","Immune System"
"456","IL-6-type cytokine receptor ligand interactions","Immune System"
"457","Immune System","Immune System"
"458","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","Immune System"
"459","Impaired BRCA2 binding to PALB2","Disease"
"460","Impaired BRCA2 binding to RAD51","Disease"
"461","Inactivation of APC/C via direct inhibition of the APC/C complex","Cell Cycle"
"462","Inactivation of CSF3 (G-CSF) signaling","Immune System"
"463","Inactivation, recovery and regulation of the phototransduction cascade","Sensory Perception"
"464","Influenza Infection","Disease"
"465","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","Neuronal System"
"466","Inhibition of DNA recombination at telomere","Cell Cycle"
"467","Inhibition of replication initiation of damaged DNA by RB1/E2F1","Cell Cycle"
"468","Inhibition of replication initiation of damaged DNA by RB1/E2F1","Cell Cycle"
"469","Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","Cell Cycle"
"470","Initial triggering of complement","Immune System"
"471","Initial triggering of complement","Immune System"
"472","Initiation of Nuclear Envelope (NE) Reformation","Cell Cycle"
"473","InlB-mediated entry of Listeria monocytogenes into host cell","Disease"
"474","Insertion of tail-anchored proteins into the endoplasmic reticulum membrane","Protein localization"
"475","Insulin processing","Metabolism of proteins"
"476","Insulin receptor recycling","Signal Transduction"
"477","Insulin receptor signalling cascade","Signal Transduction"
"478","Integrin cell surface interactions","Extracellular matrix organization"
"479","Integrin signaling","Hemostasis"
"480","Integrin signaling","Signal Transduction"
"481","Interaction between L1 and Ankyrins","Developmental Biology"
"482","Interaction With Cumulus Cells And The Zona Pellucida","Reproduction"
