"","complex_name","complex_ID","pathway_ID","top_level_pathway_ID","pathway_name","top_level_pathway_name","species"
"20","ALL","R-ALL-6814274","R-HSA-6809371","R-HSA-1266738","Formation of the cornified envelope","Developmental Biology","General (all species)"
"21","ALL","R-ALL-879479","R-HSA-3000480","R-HSA-5653656","Scavenging by Class A Receptors","Vesicle-mediated transport","General (all species)"
"22","ALL","R-ALL-879479","R-HSA-3000497","R-HSA-5653656","Scavenging by Class H Receptors","Vesicle-mediated transport","General (all species)"
"23","ALL","R-ALL-879479","R-HSA-445989","R-HSA-168256","TAK1-dependent IKK and NF-kappa-B activation  ","Immune System","General (all species)"
"24","ALL","R-ALL-879479","R-HSA-879415","R-HSA-168256","Advanced glycosylation endproduct receptor signaling","Immune System","General (all species)"
"25","ALL","R-ALL-879479","R-HSA-933542","R-HSA-168256","TRAF6 mediated NF-kB activation","Immune System","General (all species)"
"26","ALL","R-ALL-8847729","R-HSA-6809371","R-HSA-1266738","Formation of the cornified envelope","Developmental Biology","General (all species)"
"27","ALL","R-ALL-8852847","R-HSA-532668","R-HSA-392499","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Metabolism of proteins","General (all species)"
"28","ALL","R-ALL-8852847","R-HSA-901032","R-HSA-392499","ER Quality Control Compartment (ERQC)","Metabolism of proteins","General (all species)"
"29","ALL","R-ALL-8852849","R-HSA-532668","R-HSA-392499","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Metabolism of proteins","General (all species)"
"30","ALL","R-ALL-8852849","R-HSA-901032","R-HSA-392499","ER Quality Control Compartment (ERQC)","Metabolism of proteins","General (all species)"
"31","ALL","R-ALL-8852853","R-HSA-532668","R-HSA-392499","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Metabolism of proteins","General (all species)"
"32","ALL","R-ALL-8852853","R-HSA-901032","R-HSA-392499","ER Quality Control Compartment (ERQC)","Metabolism of proteins","General (all species)"
"33","ALL","R-ALL-8852854","R-HSA-532668","R-HSA-392499","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Metabolism of proteins","General (all species)"
"34","ALL","R-ALL-8852854","R-HSA-901032","R-HSA-392499","ER Quality Control Compartment (ERQC)","Metabolism of proteins","General (all species)"
"35","ALL","R-ALL-8866926","R-HSA-8964572","R-HSA-1430728","Lipid particle organization","Metabolism","General (all species)"
"36","ALL","R-ALL-8931784","R-HSA-6803157","R-HSA-168256","Antimicrobial peptides","Immune System","General (all species)"
"37","ALL","R-ALL-8960056","R-HSA-429947","R-HSA-8953854","Deadenylation of mRNA","Metabolism of RNA","General (all species)"
"38","ALL","R-ALL-8960056","R-HSA-9820865","R-HSA-1266738","Z-decay: degradation of maternal mRNAs by zygotically expressed factors","Developmental Biology","General (all species)"
"39","ALL","R-ALL-9638600","R-HSA-9638630","R-HSA-1643685","Attachment of bacteria to epithelial cells","Disease","General (all species)"
"40","ALL","R-ALL-9753938","R-HSA-9753281","R-HSA-9748784","Paracetamol ADME","Drug ADME","General (all species)"
"41","ALL","R-ALL-9865384","R-HSA-5628897","R-HSA-74160","TP53 Regulates Metabolic Genes","Gene expression (Transcription)","General (all species)"
"42","ALL","R-ALL-9865384","R-HSA-611105","R-HSA-1430728","Respiratory electron transport","Metabolism","General (all species)"
"43","ALL","R-ALL-9865384","R-HSA-9707564","R-HSA-8953897","Cytoprotection by HMOX1","Cellular responses to stimuli","General (all species)"
"44","ALL","R-ALL-9865384","R-HSA-9864848","R-HSA-1430728","Complex IV assembly","Metabolism","General (all species)"
"45","ALL","R-ALL-9913101","R-HSA-9638771","R-HSA-1643685","Action of antimicrobials","Disease","General (all species)"
"46","ALL","R-ALL-9913101","R-HSA-9913143","R-HSA-1643685","Antimicrobial resistance","Disease","General (all species)"
"47","ALL","R-ALL-9913110","R-HSA-9913143","R-HSA-1643685","Antimicrobial resistance","Disease","General (all species)"
"48","ALL","R-ALL-9913922","R-HSA-9913143","R-HSA-1643685","Antimicrobial resistance","Disease","General (all species)"
"49","BAN","R-BAN-5205716","R-HSA-5210891","R-HSA-1643685","Uptake and function of anthrax toxins","Disease","Bacillus anthracis"
"50","BAN","R-BAN-5205726","R-HSA-5210891","R-HSA-1643685","Uptake and function of anthrax toxins","Disease","Bacillus anthracis"
"51","BAN","R-BAN-5205732","R-HSA-5210891","R-HSA-1643685","Uptake and function of anthrax toxins","Disease","Bacillus anthracis"
"52","BAN","R-BAN-5210941","R-HSA-5210891","R-HSA-1643685","Uptake and function of anthrax toxins","Disease","Bacillus anthracis"
"53","BAN","R-BAN-5211332","R-HSA-5210891","R-HSA-1643685","Uptake and function of anthrax toxins","Disease","Bacillus anthracis"
"54","BAN","R-BAN-5211343","R-HSA-5210891","R-HSA-1643685","Uptake and function of anthrax toxins","Disease","Bacillus anthracis"
"55","BAN","R-BAN-5211351","R-HSA-5210891","R-HSA-1643685","Uptake and function of anthrax toxins","Disease","Bacillus anthracis"
"56","BAN","R-BAN-5211357","R-HSA-5210891","R-HSA-1643685","Uptake and function of anthrax toxins","Disease","Bacillus anthracis"
"57","CBO","R-CBO-190016","R-HSA-5250958","R-HSA-1643685","Toxicity of botulinum toxin type B (botB)","Disease","Clostridium botulinum"
"58","CBO","R-CBO-190017","R-HSA-5250968","R-HSA-1643685","Toxicity of botulinum toxin type A (botA)","Disease","Clostridium botulinum"
"59","CBO","R-CBO-190018","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"60","CBO","R-CBO-190021","R-HSA-5250989","R-HSA-1643685","Toxicity of botulinum toxin type G (botG)","Disease","Clostridium botulinum"
"61","CBO","R-CBO-190022","R-HSA-5250958","R-HSA-1643685","Toxicity of botulinum toxin type B (botB)","Disease","Clostridium botulinum"
"62","CBO","R-CBO-190024","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"63","CBO","R-CBO-190025","R-HSA-5250981","R-HSA-1643685","Toxicity of botulinum toxin type F (botF)","Disease","Clostridium botulinum"
"64","CBO","R-CBO-190026","R-HSA-5250958","R-HSA-1643685","Toxicity of botulinum toxin type B (botB)","Disease","Clostridium botulinum"
"65","CBO","R-CBO-190027","R-HSA-5250992","R-HSA-1643685","Toxicity of botulinum toxin type E (botE)","Disease","Clostridium botulinum"
"66","CBO","R-CBO-190028","R-HSA-5250989","R-HSA-1643685","Toxicity of botulinum toxin type G (botG)","Disease","Clostridium botulinum"
"67","CBO","R-CBO-190029","R-HSA-5250955","R-HSA-1643685","Toxicity of botulinum toxin type D (botD)","Disease","Clostridium botulinum"
"68","CBO","R-CBO-190030","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"69","CBO","R-CBO-190032","R-HSA-5250989","R-HSA-1643685","Toxicity of botulinum toxin type G (botG)","Disease","Clostridium botulinum"
"70","CBO","R-CBO-190034","R-HSA-5250981","R-HSA-1643685","Toxicity of botulinum toxin type F (botF)","Disease","Clostridium botulinum"
"71","CBO","R-CBO-190035","R-HSA-5250968","R-HSA-1643685","Toxicity of botulinum toxin type A (botA)","Disease","Clostridium botulinum"
"72","CBO","R-CBO-190036","R-HSA-5250968","R-HSA-1643685","Toxicity of botulinum toxin type A (botA)","Disease","Clostridium botulinum"
"73","CBO","R-CBO-190037","R-HSA-5250955","R-HSA-1643685","Toxicity of botulinum toxin type D (botD)","Disease","Clostridium botulinum"
"74","CBO","R-CBO-190038","R-HSA-5250955","R-HSA-1643685","Toxicity of botulinum toxin type D (botD)","Disease","Clostridium botulinum"
"75","CBO","R-CBO-190042","R-HSA-5250981","R-HSA-1643685","Toxicity of botulinum toxin type F (botF)","Disease","Clostridium botulinum"
"76","CBO","R-CBO-190043","R-HSA-5250958","R-HSA-1643685","Toxicity of botulinum toxin type B (botB)","Disease","Clostridium botulinum"
"77","CBO","R-CBO-190044","R-HSA-5250992","R-HSA-1643685","Toxicity of botulinum toxin type E (botE)","Disease","Clostridium botulinum"
"78","CBO","R-CBO-190045","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"79","CBO","R-CBO-190046","R-HSA-5250968","R-HSA-1643685","Toxicity of botulinum toxin type A (botA)","Disease","Clostridium botulinum"
"80","CBO","R-CBO-190047","R-HSA-5250992","R-HSA-1643685","Toxicity of botulinum toxin type E (botE)","Disease","Clostridium botulinum"
"81","CBO","R-CBO-190048","R-HSA-5250981","R-HSA-1643685","Toxicity of botulinum toxin type F (botF)","Disease","Clostridium botulinum"
"82","CBO","R-CBO-190050","R-HSA-5250989","R-HSA-1643685","Toxicity of botulinum toxin type G (botG)","Disease","Clostridium botulinum"
"83","CBO","R-CBO-190051","R-HSA-5250992","R-HSA-1643685","Toxicity of botulinum toxin type E (botE)","Disease","Clostridium botulinum"
"84","CBO","R-CBO-190052","R-HSA-5250955","R-HSA-1643685","Toxicity of botulinum toxin type D (botD)","Disease","Clostridium botulinum"
"85","CBO","R-CBO-5228590","R-HSA-5250968","R-HSA-1643685","Toxicity of botulinum toxin type A (botA)","Disease","Clostridium botulinum"
"86","CBO","R-CBO-5228599","R-HSA-5250958","R-HSA-1643685","Toxicity of botulinum toxin type B (botB)","Disease","Clostridium botulinum"
"87","CBO","R-CBO-5228604","R-HSA-5250968","R-HSA-1643685","Toxicity of botulinum toxin type A (botA)","Disease","Clostridium botulinum"
"88","CBO","R-CBO-5228681","R-HSA-5250958","R-HSA-1643685","Toxicity of botulinum toxin type B (botB)","Disease","Clostridium botulinum"
"89","CBO","R-CBO-5228686","R-HSA-5250992","R-HSA-1643685","Toxicity of botulinum toxin type E (botE)","Disease","Clostridium botulinum"
"90","CBO","R-CBO-5228688","R-HSA-5250992","R-HSA-1643685","Toxicity of botulinum toxin type E (botE)","Disease","Clostridium botulinum"
"91","CBO","R-CBO-5228947","R-HSA-5250958","R-HSA-1643685","Toxicity of botulinum toxin type B (botB)","Disease","Clostridium botulinum"
"92","CBO","R-CBO-5228948","R-HSA-5250968","R-HSA-1643685","Toxicity of botulinum toxin type A (botA)","Disease","Clostridium botulinum"
"93","CBO","R-CBO-5228950","R-HSA-5250968","R-HSA-1643685","Toxicity of botulinum toxin type A (botA)","Disease","Clostridium botulinum"
"94","CBO","R-CBO-5228951","R-HSA-5250992","R-HSA-1643685","Toxicity of botulinum toxin type E (botE)","Disease","Clostridium botulinum"
"95","CBO","R-CBO-5228954","R-HSA-5250958","R-HSA-1643685","Toxicity of botulinum toxin type B (botB)","Disease","Clostridium botulinum"
"96","CBO","R-CBO-5228955","R-HSA-5250992","R-HSA-1643685","Toxicity of botulinum toxin type E (botE)","Disease","Clostridium botulinum"
"97","CBO","R-CBO-5246508","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"98","CBO","R-CBO-5246513","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"99","CBO","R-CBO-5246516","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"100","CBO","R-CBO-5246524","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"101","CBO","R-CBO-5246525","R-HSA-5250971","R-HSA-1643685","Toxicity of botulinum toxin type C (botC)","Disease","Clostridium botulinum"
"102","CBO","R-CBO-5250523","R-HSA-5250955","R-HSA-1643685","Toxicity of botulinum toxin type D (botD)","Disease","Clostridium botulinum"
"103","CBO","R-CBO-5250524","R-HSA-5250955","R-HSA-1643685","Toxicity of botulinum toxin type D (botD)","Disease","Clostridium botulinum"
"104","CBO","R-CBO-5250526","R-HSA-5250955","R-HSA-1643685","Toxicity of botulinum toxin type D (botD)","Disease","Clostridium botulinum"
"105","CBO","R-CBO-5250691","R-HSA-5250989","R-HSA-1643685","Toxicity of botulinum toxin type G (botG)","Disease","Clostridium botulinum"
"106","CBO","R-CBO-5250693","R-HSA-5250981","R-HSA-1643685","Toxicity of botulinum toxin type F (botF)","Disease","Clostridium botulinum"
"107","CBO","R-CBO-5250874","R-HSA-5250981","R-HSA-1643685","Toxicity of botulinum toxin type F (botF)","Disease","Clostridium botulinum"
"108","CBO","R-CBO-5250890","R-HSA-5250981","R-HSA-1643685","Toxicity of botulinum toxin type F (botF)","Disease","Clostridium botulinum"
"109","CBO","R-CBO-5250963","R-HSA-5250989","R-HSA-1643685","Toxicity of botulinum toxin type G (botG)","Disease","Clostridium botulinum"
"110","CBO","R-CBO-5250990","R-HSA-5250989","R-HSA-1643685","Toxicity of botulinum toxin type G (botG)","Disease","Clostridium botulinum"
"111","COV","R-COV-9680476","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"112","COV","R-COV-9680806","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"113","COV","R-COV-9680806","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"114","COV","R-COV-9680806","R-HSA-9683439","R-HSA-1643685","Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)","Disease","Human SARS coronavirus"
"115","COV","R-COV-9680806","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"116","COV","R-COV-9680807","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"117","COV","R-COV-9680807","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"118","COV","R-COV-9680807","R-HSA-9683439","R-HSA-1643685","Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)","Disease","Human SARS coronavirus"
"119","COV","R-COV-9680807","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"120","COV","R-COV-9681588","R-HSA-9684325","R-HSA-1643685","Maturation of replicase proteins","Disease","Human SARS coronavirus"
"121","COV","R-COV-9681659","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"122","COV","R-COV-9681659","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"123","COV","R-COV-9681659","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"124","COV","R-COV-9681663","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"125","COV","R-COV-9682253","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"126","COV","R-COV-9682451","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"127","COV","R-COV-9682451","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"128","COV","R-COV-9682451","R-HSA-9683439","R-HSA-1643685","Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)","Disease","Human SARS coronavirus"
"129","COV","R-COV-9682451","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"130","COV","R-COV-9682469","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"131","COV","R-COV-9682469","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"132","COV","R-COV-9682545","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"133","COV","R-COV-9682545","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"134","COV","R-COV-9682545","R-HSA-9683439","R-HSA-1643685","Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)","Disease","Human SARS coronavirus"
"135","COV","R-COV-9682545","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"136","COV","R-COV-9682566","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"137","COV","R-COV-9682616","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"138","COV","R-COV-9682616","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"139","COV","R-COV-9682616","R-HSA-9683439","R-HSA-1643685","Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)","Disease","Human SARS coronavirus"
"140","COV","R-COV-9682616","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"141","COV","R-COV-9682668","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"142","COV","R-COV-9682668","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"143","COV","R-COV-9682692","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"144","COV","R-COV-9682715","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"145","COV","R-COV-9682715","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"146","COV","R-COV-9682715","R-HSA-9683439","R-HSA-1643685","Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)","Disease","Human SARS coronavirus"
"147","COV","R-COV-9682715","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"148","COV","R-COV-9683403","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"149","COV","R-COV-9683403","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"150","COV","R-COV-9683403","R-HSA-9683439","R-HSA-1643685","Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)","Disease","Human SARS coronavirus"
"151","COV","R-COV-9683403","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"152","COV","R-COV-9683433","R-HSA-9682706","R-HSA-1643685","Replication of the SARS-CoV-1 genome","Disease","Human SARS coronavirus"
"153","COV","R-COV-9683433","R-HSA-9682708","R-HSA-1643685","Transcription of SARS-CoV-1 sgRNAs","Disease","Human SARS coronavirus"
"154","COV","R-COV-9683433","R-HSA-9683439","R-HSA-1643685","Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)","Disease","Human SARS coronavirus"
"155","COV","R-COV-9683433","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"156","COV","R-COV-9683621","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"157","COV","R-COV-9683621","R-HSA-9683683","R-HSA-1643685","Maturation of protein E","Disease","Human SARS coronavirus"
"158","COV","R-COV-9683623","R-HSA-9683683","R-HSA-1643685","Maturation of protein E","Disease","Human SARS coronavirus"
"159","COV","R-COV-9683623","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"160","COV","R-COV-9683649","R-HSA-9678110","R-HSA-1643685","Attachment and Entry","Disease","Human SARS coronavirus"
"161","COV","R-COV-9683649","R-HSA-9683610","R-HSA-1643685","Maturation of nucleoprotein","Disease","Human SARS coronavirus"
"162","COV","R-COV-9683649","R-HSA-9692914","R-HSA-1643685","SARS-CoV-1-host interactions","Disease","Human SARS coronavirus"
"163","COV","R-COV-9683649","R-HSA-9735869","R-HSA-1643685","SARS-CoV-1 modulates host translation machinery","Disease","Human SARS coronavirus"
"164","COV","R-COV-9683649","R-HSA-9735871","R-HSA-1643685","SARS-CoV-1 targets host intracellular signalling and regulatory pathways","Disease","Human SARS coronavirus"
"165","COV","R-COV-9683675","R-HSA-9683686","R-HSA-1643685","Maturation of spike protein","Disease","Human SARS coronavirus"
"166","COV","R-COV-9683676","R-HSA-9683686","R-HSA-1643685","Maturation of spike protein","Disease","Human SARS coronavirus"
"167","COV","R-COV-9683761","R-HSA-9683610","R-HSA-1643685","Maturation of nucleoprotein","Disease","Human SARS coronavirus"
"168","COV","R-COV-9683761","R-HSA-9692914","R-HSA-1643685","SARS-CoV-1-host interactions","Disease","Human SARS coronavirus"
"169","COV","R-COV-9683761","R-HSA-9735871","R-HSA-1643685","SARS-CoV-1 targets host intracellular signalling and regulatory pathways","Disease","Human SARS coronavirus"
"170","COV","R-COV-9683768","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"171","COV","R-COV-9683768","R-HSA-9683686","R-HSA-1643685","Maturation of spike protein","Disease","Human SARS coronavirus"
"172","COV","R-COV-9684199","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"173","COV","R-COV-9684203","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"174","COV","R-COV-9684203","R-HSA-9683610","R-HSA-1643685","Maturation of nucleoprotein","Disease","Human SARS coronavirus"
"175","COV","R-COV-9684216","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"176","COV","R-COV-9684225","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"177","COV","R-COV-9684226","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"178","COV","R-COV-9684230","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"179","COV","R-COV-9684326","R-HSA-9684325","R-HSA-1643685","Maturation of replicase proteins","Disease","Human SARS coronavirus"
"180","COV","R-COV-9684343","R-HSA-9684325","R-HSA-1643685","Maturation of replicase proteins","Disease","Human SARS coronavirus"
"181","COV","R-COV-9684862","R-HSA-9684325","R-HSA-1643685","Maturation of replicase proteins","Disease","Human SARS coronavirus"
"182","COV","R-COV-9685184","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"183","COV","R-COV-9685471","R-HSA-9678110","R-HSA-1643685","Attachment and Entry","Disease","Human SARS coronavirus"
"184","COV","R-COV-9685471","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"185","COV","R-COV-9685471","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"186","COV","R-COV-9685481","R-HSA-9678110","R-HSA-1643685","Attachment and Entry","Disease","Human SARS coronavirus"
"187","COV","R-COV-9685481","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"188","COV","R-COV-9685481","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"189","COV","R-COV-9685482","R-HSA-9678110","R-HSA-1643685","Attachment and Entry","Disease","Human SARS coronavirus"
"190","COV","R-COV-9685482","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"191","COV","R-COV-9685482","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"192","COV","R-COV-9685492","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"193","COV","R-COV-9685496","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"194","COV","R-COV-9685499","R-HSA-9678110","R-HSA-1643685","Attachment and Entry","Disease","Human SARS coronavirus"
"195","COV","R-COV-9685499","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"196","COV","R-COV-9685499","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"197","COV","R-COV-9685505","R-HSA-9678110","R-HSA-1643685","Attachment and Entry","Disease","Human SARS coronavirus"
"198","COV","R-COV-9685505","R-HSA-9679509","R-HSA-1643685","Virion Assembly and Release","Disease","Human SARS coronavirus"
"199","COV","R-COV-9685505","R-HSA-9692916","R-HSA-1643685","SARS-CoV-1 activates/modulates innate immune responses","Disease","Human SARS coronavirus"
"200","COV","R-COV-9685506","R-HSA-9678110","R-HSA-1643685","Attachment and Entry","Disease","Human SARS coronavirus"
