Gene,List_Name,Cluster,List_Name_2,Group
Platelet Adhesion to exposed collagen,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Metabolism of nucleotides,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FCERI mediated Ca+2 mobilization,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
ER-Phagosome pathway,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Nucleotide catabolism,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Antigen processing-Cross presentation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Response to metal ions,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-6 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Metallothioneins bind metals,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Caspase activation via Death Receptors in the presence of ligand,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Caspase activation via extrinsic apoptotic signalling pathway,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Cellular response to chemical stress,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
RHO GTPases Activate NADPH Oxidases,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interferon gamma signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
MyD88 deficiency (TLR2/4),ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of TLR by endogenous ligand,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
IRAK4 deficiency (TLR2/4),ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Inactivation of CSF3 (G-CSF) signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-6 family signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Killing mechanisms,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
WNT5:FZD7-mediated leishmania damping,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Signal regulatory protein family interactions,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
EPHA-mediated growth cone collapse,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of KIT signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Signaling by SCF-KIT,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Cytokine Signaling in Immune system,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of RUNX2 expression and activity,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FCGR3A-mediated IL10 synthesis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Signaling by CSF3 (G-CSF),ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Signaling by PDGFR in disease,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FCGR activation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Growth hormone receptor signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-35 Signalling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Antimicrobial peptides,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
CTLA4 inhibitory signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Nef mediated downregulation of MHC class I complex cell surface expression,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Antiviral mechanism by IFN-stimulated genes,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Assembly and cell surface presentation of NMDA receptors,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Mitotic G1 phase and G1/S transition,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
DAP12 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Activation of anterior HOX genes in hindbrain development during early embryogenesis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Activation of HOX genes during differentiation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Fc epsilon receptor (FCERI) signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-21 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FCERI mediated NF-kB activation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
ISG15 antiviral mechanism,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
MAPK targets/ Nuclear events mediated by MAP kinases,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
ROS and RNS production in phagocytes,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
GPVI-mediated activation cascade,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Phase 0 - rapid depolarisation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Diseases associated with the TLR signaling cascade,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Diseases of Immune System,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-12 family signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
NOTCH3 Intracellular Domain Regulates Transcription,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
DAP12 interactions,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
SHC-mediated cascade:FGFR4,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of IFNA/IFNB signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
SHC-mediated cascade:FGFR1,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
C-type lectin receptors (CLRs),ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of IFNG signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Nicotinate metabolism,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Role of LAT2/NTAL/LAB on calcium mobilization,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Nicotinamide salvaging,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Signaling by PDGFRA extracellular domain mutants,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Chemokine receptors bind chemokines,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Erythropoietin activates RAS,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FRS-mediated FGFR3 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FRS-mediated FGFR4 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Cyclin D associated events in G1,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
G1 Phase,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
SHC-mediated cascade:FGFR2,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Reduction of cytosolic Ca++ levels,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
SHC-mediated cascade:FGFR3,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
CaMK IV-mediated phosphorylation of CREB,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
IL-6-type cytokine receptor ligand interactions,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Platelet calcium homeostasis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Ras activation upon Ca2+ influx through NMDA receptor,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FRS-mediated FGFR2 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Activated NTRK2 signals through FRS2 and FRS3,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FRS-mediated FGFR1 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Cytoprotection by HMOX1,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Signaling by NOTCH4,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Intrinsic Pathway of Fibrin Clot Formation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Other semaphorin interactions,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
mRNA decay by 5' to 3' exoribonuclease,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Cross-presentation of soluble exogenous antigens (endosomes),ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
"Unblocking of NMDA receptors, glutamate binding and activation",ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
MET activates RAS signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
EGR2 and SOX10-mediated initiation of Schwann cell myelination,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of ornithine decarboxylase (ODC),ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Calmodulin induced events,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
CaM pathway,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Sodium/Calcium exchangers,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
KEAP1-NFE2L2 pathway,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
MET receptor recycling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Downstream signal transduction,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Repression of WNT target genes,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Nuclear events mediated by NFE2L2,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
TRAF3-dependent IRF activation pathway,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Negative regulation of NMDA receptor-mediated neuronal transmission,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Degradation of GLI1 by the proteasome,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Termination of translesion DNA synthesis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Heme signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Activation of the AP-1 family of transcription factors,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Negative regulation of NOTCH4 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
TP53 Regulates Transcription of Cell Death Genes,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Synthesis of DNA,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Ca-dependent events,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Constitutive Signaling by Overexpressed ERBB2,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Respiratory electron transport,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
DNA Damage Bypass,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
The role of Nef in HIV-1 replication and disease pathogenesis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
DNA Replication,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Transcriptional activation of mitochondrial biogenesis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Insulin receptor recycling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Ion homeostasis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Heme degradation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Degradation of beta-catenin by the destruction complex,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
DAG and IP3 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
SARS-CoV-2 activates/modulates innate and adaptive immune responses,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Degradation of GLI2 by the proteasome,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Metabolism of porphyrins,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
IRF3-mediated induction of type I IFN,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Processing of SMDT1,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
The citric acid (TCA) cycle and respiratory electron transport,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
STING mediated induction of host immune responses,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Metabolism of polyamines,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Amino acids regulate mTORC1,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Dectin-1 mediated noncanonical NF-kB signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of APC/C activators between G1/S and early anaphase,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Pyroptosis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Acyl chain remodelling of PE,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
TP53 Regulates Transcription of DNA Repair Genes,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
APC/C-mediated degradation of cell cycle proteins,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of mitotic cell cycle,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
TRIF-mediated programmed cell death,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
ATF4 activates genes in response to endoplasmic reticulum  stress,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Maturation of nucleoprotein,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Signaling by NTRK3 (TRKC),ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-12 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Lysosome Vesicle Biogenesis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Smooth Muscle Contraction,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Hedgehog 'off' state,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation of PTEN gene transcription,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
GLI3 is processed to GLI3R by the proteasome,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Drug ADME,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
SARS-CoV-2 modulates autophagy,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Defective Intrinsic Pathway for Apoptosis,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Neurodegenerative Diseases,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Transport of connexons to the plasma membrane,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
HSF1-dependent transactivation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Notch-HLH transcription pathway,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Defective HDR through Homologous Recombination (HRR) due to BRCA1 loss-of-function,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-10 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Phosphorylation of CD3 and TCR zeta chains,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
